timestamp,unit_ts,hkt,tradeid,price,quantity
2024-03-01T10:13:34.112Z,1709288014,2024-03-01 18:13:34,QACAGAAAR4VHHQN4,62088.596000,0.0800
2024-03-01T10:13:34.113Z,1709288014,2024-03-01 18:13:34,QACAGAAAR4VHHQQE,62088.328000,0.0500
2024-03-01T10:13:38.984Z,1709288018,2024-03-01 18:13:38,QACAGAAAR4VHI1VU,62053.776000,0.0800
2024-03-01T10:25:47.736Z,1709288747,2024-03-01 18:25:47,QACAGAAAR4VLKGNV,62171.702000,0.0800
