timestamp,unit_ts,hkt,tradeid,price,quantity
2024-04-24T14:35:10.063Z,1713940510,2024-04-24 14:35:10,6V0DCSJ0CNX1,65083.75,0.00008619
2024-04-24T14:35:10.264Z,1713940510,2024-04-24 14:35:10,6V0DCSJ0CNXB,65106.5,0.00002933
2024-04-24T14:35:10.302Z,1713940510,2024-04-24 14:35:10,6V0DCSJ0CNXH,65106.5,0.00019107
2024-04-24T14:35:10.924Z,1713940510,2024-04-24 14:35:10,6V0DCSJ0CNYA,65093,0.00174607
2024-04-24T14:35:12.846Z,1713940512,2024-04-24 14:35:12,6V0DCSJ0CO0M,65075.5,0.0637
2024-04-24T14:35:12.846Z,1713940512,2024-04-24 14:35:12,6V0DCSJ0CO0N,65072.25,0.0283
2024-04-24T14:35:13.034Z,1713940513,2024-04-24 14:35:13,6V0DCSJ0CO0X,65074.75,0.00000276
2024-04-24T14:35:14.222Z,1713940514,2024-04-24 14:35:14,6V0DCSJ0CO2H,65063.25,0.00008822
2024-04-24T14:35:14.279Z,1713940514,2024-04-24 14:35:14,6V0DCSJ0CO2L,65063.25,0.00000476
2024-04-24T14:35:22.375Z,1713940522,2024-04-24 14:35:22,6V0DCSJ0COCL,65035.5,0.00001291
2024-04-24T14:35:24.443Z,1713940524,2024-04-24 14:35:24,6V0DCSJ0COEQ,65018.25,0.00988493
2024-04-24T14:35:24.443Z,1713940524,2024-04-24 14:35:24,6V0DCSJ0COER,65018.25,0.00848403
2024-04-24T14:35:24.443Z,1713940524,2024-04-24 14:35:24,6V0DCSJ0COES,65018.25,0.01106662
2024-04-24T14:35:24.688Z,1713940524,2024-04-24 14:35:24,6V0DCSJ0COF5,65018.25,0.00000369
2024-04-24T14:35:24.901Z,1713940524,2024-04-24 14:35:24,6V0DCSJ0COFC,65018.25,0.00000861
2024-04-24T14:35:25.289Z,1713940525,2024-04-24 14:35:25,6V0DCSJ0COFM,65018,0.00012065
2024-04-24T14:35:25.498Z,1713940525,2024-04-24 14:35:25,6V0DCSJ0COG5,65000,0.0191
2024-04-24T14:35:25.498Z,1713940525,2024-04-24 14:35:25,6V0DCSJ0COG7,65000,0.00003077
2024-04-24T14:35:25.498Z,1713940525,2024-04-24 14:35:25,6V0DCSJ0COG6,65000,0.01538461
2024-04-24T14:35:25.498Z,1713940525,2024-04-24 14:35:25,6V0DCSJ0COG8,64993.25,0.08
2024-04-24T14:35:27.627Z,1713940527,2024-04-24 14:35:27,6V0DCSJ0COJY,64993,0.00020617
2024-04-24T14:35:28.213Z,1713940528,2024-04-24 14:35:28,6V0DCSJ0COKH,64993,0.00304648
2024-04-24T14:37:17.519Z,1713969437,2024-04-24 22:37:17,6V0DCSJ0D4FT,64998.75,0.0015231
2024-04-24T14:37:17.884Z,1713969437,2024-04-24 22:37:17,6V0DCSJ0D4G9,64998.5,0.00029922
2024-04-24T14:37:18.116Z,1713969438,2024-04-24 22:37:18,6V0DCSJ0D4GG,64998.75,0.0000063
2024-04-24T14:37:20.59Z,1713969440,2024-04-24 22:37:20,6V0DCSJ0D4J3,64996.25,0.00217812
2024-04-24T14:37:22.006Z,1713969442,2024-04-24 22:37:22,6V0DCSJ0D4KH,64996,0.00000296
2024-04-24T14:37:23.5Z,1713969443,2024-04-24 22:37:23,6V0DCSJ0D4ME,64979,0.00015235
2024-04-24T14:37:23.813Z,1713969443,2024-04-24 22:37:23,6V0DCSJ0D4N4,64977,0.0637
2024-04-24T14:37:24.044Z,1713969444,2024-04-24 22:37:24,6V0DCSJ0D4ND,64970,0.0637
2024-04-24T14:37:24.159Z,1713969444,2024-04-24 22:37:24,6V0DCSJ0D4NK,64970.25,0.00000729
2024-04-24T14:37:24.355Z,1713969444,2024-04-24 22:37:24,6V0DCSJ0D4NW,64970.5,0.00005294
2024-04-24T14:37:24.77Z,1713969444,2024-04-24 22:37:24,6V0DCSJ0D4OG,64967.5,0.00170839
2024-04-24T14:37:25.254Z,1713969445,2024-04-24 22:37:25,6V0DCSJ0D4OU,64967.25,0.00006063
2024-04-24T14:37:25.869Z,1713969445,2024-04-24 22:37:25,6V0DCSJ0D4Q4,64940.75,0.00609786
2024-04-24T14:37:26.874Z,1713969446,2024-04-24 22:37:26,6V0DCSJ0D4RA,64935.5,0.01017582
2024-04-24T14:37:26.918Z,1713969446,2024-04-24 22:37:26,6V0DCSJ0D4RD,64935.5,0.05352418
2024-04-24T14:37:27.285Z,1713969447,2024-04-24 22:37:27,6V0DCSJ0D4S0,64927,0.0637
2024-04-24T14:37:27.329Z,1713969447,2024-04-24 22:37:27,6V0DCSJ0D4S5,64927,0.08
2024-04-24T14:37:27.446Z,1713969447,2024-04-24 22:37:27,6V0DCSJ0D4SB,64927.25,0.00000292
2024-04-24T14:37:29.032Z,1713969449,2024-04-24 22:37:29,6V0DCSJ0D4U9,64918.5,0.00002911
2024-04-24T14:37:31.774Z,1713969451,2024-04-24 22:37:31,6V0DCSJ0D4XC,64918.5,0.00005807
